MATNR,MAKTX,MTART,MEINS,MATKL,NTGEW,GEWEI,CREATED_ON
MAT000040,Deliver Distributed Supply-Chains,FERT,MT,GRP06,464.52,KG,2021-10-08
MAT000041,Redefine Open-Source Markets,ROH,KG,GRP08,310.62,KG,2024-06-10
MAT000042,Streamline Killer Convergence,ROH,KG,GRP09,106.66,KG,2021-06-26
MAT000043,Aggregate Synergistic Mindshare,FERT,EA,GRP06,440.44,KG,2024-01-28
MAT000044,Engineer Clicks-And-Mortar Technologies,HALB,LT,GRP05,78.96,KG,2022-04-12
MAT000045,Deliver Virtual Technologies,FERT,PC,GRP09,4.01,KG,2023-10-27
MAT000046,Integrate Out-Of-The-Box Portals,FERT,KG,GRP03,132.31,KG,2023-07-06
MAT000047,Incubate Global Communities,ROH,PC,GRP03,136.25,KG,2022-07-10
MAT000048,Implement Dynamic Content,HALB,LT,GRP04,343.78,KG,2024-06-25
MAT000049,Unleash Out-Of-The-Box Systems,FERT,PC,GRP08,125.64,KG,2021-07-21
MAT000050,Leverage Dot-Com Paradigms,ROH,KG,GRP07,414.69,KG,2024-03-28
MAT000051,Engineer Turn-Key Interfaces,ROH,KG,GRP06,385.58,KG,2024-01-30
MAT000052,Integrate Bleeding-Edge Web Services,FERT,EA,GRP08,275.89,KG,2025-01-04
MAT000053,Implement Viral Niches,HAWA,PC,GRP01,56.03,KG,2022-12-12
MAT000054,Aggregate Extensible Vortals,HALB,PC,GRP01,417.31,KG,2024-04-21
MAT000055,Generate World-Class Functionalities,HALB,MT,GRP03,21.01,KG,2024-10-28
MAT000056,Streamline Proactive Functionalities,FERT,KG,GRP06,105.12,KG,2022-08-31
MAT000057,Productize Visionary Platforms,HALB,KG,GRP06,390.08,KG,2024-10-13
MAT000058,Cultivate Interactive Markets,HAWA,PC,GRP03,462.89,KG,2024-11-20
MAT000059,Mesh Collaborative Web-Readiness,HALB,EA,GRP03,440.72,KG,2024-07-19
MAT000060,Aggregate Sticky E-Tailers,ROH,EA,GRP06,391.22,KG,2022-08-29
MAT000061,Productize Dynamic Functionalities,HAWA,EA,GRP05,79.68,KG,2023-11-18
MAT000062,Unleash Ubiquitous Bandwidth,ROH,MT,GRP01,429.31,KG,2022-01-12
MAT000063,Engage Back-End Web Services,HALB,EA,GRP08,174.89,KG,2022-05-07
MAT000064,Transform Dynamic Portals,HALB,EA,GRP01,330.05,KG,2022-07-24
MAT000065,Orchestrate Innovative E-Markets,HAWA,LT,GRP05,432.19,KG,2023-05-19
MAT000066,Re-Intermediate Best-Of-Breed Supply-Cha,FERT,LT,GRP09,199.9,KG,2024-12-13
MAT000067,Transform Real-Time Content,FERT,KG,GRP02,438.53,KG,2021-08-17
MAT000068,Implement Web-Enabled Initiatives,FERT,EA,GRP10,481.27,KG,2023-02-25
MAT000069,Embrace Extensible Architectures,FERT,KG,GRP02,298.33,KG,2025-03-08
MAT000070,Transform Bricks-And-Clicks Deliverables,FERT,LT,GRP07,303.14,KG,2025-02-14
MAT000071,Innovate Next-Generation Models,ROH,MT,GRP10,95.12,KG,2025-04-01
MAT000072,Productize Cross-Platform Networks,ROH,MT,GRP01,260.01,KG,2023-01-20
MAT000073,Deploy 24/7 Experiences,HALB,LT,GRP07,35.08,KG,2025-03-15
MAT000074,Scale Clicks-And-Mortar Models,FERT,PC,GRP06,331.73,KG,2024-07-09
MAT000075,Streamline Clicks-And-Mortar Synergies,ROH,LT,GRP09,154.71,KG,2024-06-03
MAT000076,Synergize Compelling Channels,HAWA,LT,GRP07,348.63,KG,2022-06-05
MAT000077,Visualize Transparent Paradigms,HALB,EA,GRP07,332.5,KG,2022-02-28
MAT000078,Incubate Rich Initiatives,HAWA,EA,GRP10,284.6,KG,2025-04-16
MAT000079,Iterate World-Class Solutions,HAWA,PC,GRP01,152.01,KG,2024-09-01
MAT000080,Implement Integrated E-Business,HALB,MT,GRP10,303.37,KG,2021-07-29
MAT000081,Transform Customized E-Commerce,FERT,MT,GRP08,221.14,KG,2021-09-29
MAT000082,Cultivate Front-End E-Services,HALB,PC,GRP08,396.89,KG,2023-01-28
MAT000083,Transition Granular Networks,HALB,KG,GRP05,257.77,KG,2021-07-14
MAT000084,Harness Proactive Applications,FERT,KG,GRP04,336.43,KG,2021-08-13
MAT000085,Morph Next-Generation Experiences,HALB,EA,GRP03,12.31,KG,2022-03-16
MAT000086,Leverage Next-Generation E-Markets,HALB,MT,GRP10,424.88,KG,2021-07-13
MAT000087,Architect Impactful Functionalities,ROH,MT,GRP07,443.08,KG,2021-05-12
MAT000088,Generate Integrated Action-Items,HALB,MT,GRP08,199.89,KG,2023-02-01
MAT000089,Syndicate Frictionless E-Business,HALB,KG,GRP02,389.23,KG,2023-10-15
MAT000090,Maximize Holistic E-Business,HALB,EA,GRP09,232.33,KG,2022-12-02
MAT000091,Enable Out-Of-The-Box E-Business,HALB,KG,GRP08,66.76,KG,2023-05-05
MAT000092,Iterate Innovative Interfaces,HAWA,PC,GRP09,297.77,KG,2023-11-30
MAT000093,Cultivate Impactful Schemas,HAWA,PC,GRP09,213.43,KG,2023-11-12
MAT000094,Embrace Visionary Methodologies,HAWA,EA,GRP08,225.09,KG,2025-03-30
MAT000095,Morph Dot-Com Paradigms,HALB,LT,GRP09,242.35,KG,2022-11-26
MAT000096,Iterate Collaborative Web-Readiness,HALB,LT,GRP08,38.83,KG,2025-04-18
MAT000097,Re-Contextualize Turn-Key Portals,FERT,EA,GRP05,167.99,KG,2023-05-17
MAT000098,Exploit Wireless Functionalities,ROH,EA,GRP03,115.71,KG,2021-05-08
MAT000099,Extend End-To-End Solutions,HALB,EA,GRP02,207.49,KG,2021-10-06
MAT000100,Streamline Integrated Users,FERT,PC,GRP08,207.95,KG,2024-01-20
